docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
20138;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/how-to-check-your-eit-with-a-screen-reader/;How to Check Your EIT with a Screen Reader;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/how-to-check-your-eit-with-a-screen-reader/;
19922;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/making-your-eit-distinguishable/;Making Your EIT Distinguishable;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/making-your-eit-distinguishable/;
21292;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/providing-useful-alternative-text-descriptions-and-captioning/;Providing Useful Alternative Text Descriptions and Captioning;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/providing-useful-alternative-text-descriptions-and-captioning/;
19064;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/suggested-prioritization-for-making-your-eit-accessible/;Suggested Prioritization for Making Your EIT Accessible;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/suggested-prioritization-for-making-your-eit-accessible/;
19963;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/procurement-of-eit/;Procurement of EIT;http://accessibility.jhu.edu/electronic-information-technology/procurement-of-eit/;
20284;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/what-is-eit/;What is EIT?;http://accessibility.jhu.edu/electronic-information-technology/what-is-eit/;
19926;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/event-planning/;Event Planning;http://accessibility.jhu.edu/event-planning/;
23402;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/event-planning/making-events-accessible/;Making Events Accessible;http://accessibility.jhu.edu/event-planning/making-events-accessible/;
23591;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/extended-time-on-assignments/;EXTENDED TIME ON ASSIGNMENTS;http://accessibility.jhu.edu/extended-time-on-assignments/;
19640;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/faculty-resources/;Faculty Resources;http://accessibility.jhu.edu/faculty-resources/;
23281;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/faculty-resources/universal-design/;Universal Design;http://accessibility.jhu.edu/faculty-resources/universal-design/;
19326;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/interpreter-resources/;Interpreter Resources;http://accessibility.jhu.edu/interpreter-resources/;
17628;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/physical-access/;Physical Access;http://accessibility.jhu.edu/physical-access/;
18042;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/policies/;Policies;http://accessibility.jhu.edu/policies/;
